Name,Author,Rating,Reviews,Type,Price(USD),Year
"National Geographic Kids Why?: Over 1,111 Answers to Everything",Crispin Boyer,4.8,7985,Hardcover,2.73,2019
Can't Hurt Me: Master Your Mind and Defy the Odds,David Goggins,4.8,26496,Hardcover,12.24,2019
The Guardians: A Novel,John Grisham,4.6,19620,Hardcover,14.92,2019
P is for Potty! (Sesame Street) (Lift-the-Flap),Naomi Kleinberg,4.7,16777,Board book,1.25,2019
The Total Money Makeover: Classic Edition: A Proven Plan for Financial Fitness,Dave Ramsey,4.7,16713,Hardcover,3.28,2019
"Brown Bear, Brown Bear, What Do You See?",Bill Martin Jr.,4.9,22027,Board book,0.94,2019
The Unofficial Harry Potter Cookbook: From Cauldron Cakes to Knickerbocker Glory--More Than 150 Magical Recipes for Wizards and Non-Wizards Alike (Unofficial Cookbook),Dinah Bucholz,4.7,15309,Hardcover,3.02,2019
The Mueller Report,The Washington Post,4.6,3408,Paperback,11.98,2019
Zen as F*ck (Zen as F*ck Journals),Monica Sweeney,4.7,14449,Paperback,2.92,2019
Rich Dad Poor Dad: What the Rich Teach Their Kids About Money That the Poor and Middle Class Do Not!,Robert T. Kiyosaki,4.7,38609,Mass Market Paperback,7.58,2019
The Institute: A Novel,Stephen King,4.7,19682,Hardcover,2.04,2019
The Testaments: The Sequel to The Handmaid's Tale,Margaret Atwood,4.6,16758,Hardcover,2.84,2019
Super Deluxe Essential Handbook (Pokémon): The Need-to-Know Stats and Facts on Over 800 Characters,Scholastic,4.8,12509,Paperback,2.32,2019
Lettering and Modern Calligraphy: A Beginner's Guide: Learn Hand Lettering and Brush Lettering,Paper Peony Press,4.5,11653,Paperback,16.44,2019
"Carson Dellosa First Words Flash Cards—Double-Sided, Common Words With Illustrations, Basic Animals, Food, Objects, Phonics and Reading Readiness Practice Set (54 pc)",Brighter Child,4.8,26959,Cards,2.25,2019
Atomic Habits: An Easy & Proven Way to Build Good Habits & Break Bad Ones,James Clear,4.8,22924,Hardcover,7.87,2019
Make Your Bed: Little Things That Can Change Your Life...And Maybe the World,Admiral William H. McRaven,4.7,14989,Hardcover,3.62,2019
The Gifts of Imperfection: Let Go of Who You Think You're Supposed to Be and Embrace Who You Are,Brené Brown,4.7,16157,Paperback,2.17,2019
Sapiens: A Brief History of Humankind,Yuval Noah Harari,4.6,33865,Paperback,9.15,2019
What to Expect When You're Expecting,Heidi Murkoff,4.7,13600,Paperback,1.49,2019
Where the Crawdads Sing,Delia Owens,4.8,129991,Paperback,7,2019
"Daring Greatly: How the Courage to Be Vulnerable Transforms the Way We Live, Love, Parent, and Lead",Brené Brown,4.8,7116,Paperback,4.26,2019
"The Alchemist, 25th Anniversary: A Fable About Following Your Dream",Paulo Coelho,4.7,43137,Paperback,3.21,2019
"Publication Manual of the American Psychological Association, 6th Edition",American Psychological Association,4.5,10540,Paperback,11.21,2019
The Pout-Pout Fish,Deborah Diesen,4.9,14325,Board book,0.35,2019
Talking to Strangers: What We Should Know about the People We Don't Know,Malcolm Gladwell,4.5,8779,Hardcover,13.98,2019
Dear Zoo: A Lift-the-Flap Book,Rod Campbell,4.8,15733,Board book,0.94,2019
The Overstory: A Novel,Richard Powers,4.4,8118,Paperback,5.87,2019
Fahrenheit 451,Ray Bradbury,4.6,15504,Paperback,2.19,2019
StrengthsFinder 2.0,Tom Rath,4,5568,Hardcover,15.85,2019
12 Rules for Life: An Antidote to Chaos,Jordan B. Peterson,4.7,28189,Hardcover,9.99,2019
Eleanor Oliphant Is Completely Fine: A Novel,Gail Honeyman,4.5,33882,Paperback,12.78,2019
Me: Elton John Official Autobiography,Elton John,4.8,13971,Hardcover,2.16,2019
The Road Back to You: An Enneagram Journey to Self-Discovery,Ian Morgan Cron,4.7,6131,Hardcover,14.35,2019
The Tattooist of Auschwitz: A Novel,Heather Morris,4.7,32381,Paperback,0.35,2019
People of Walmart.com Adult Coloring Book: Rolling Back Dignity (OFFICIAL People of Walmart Coloring Books),Andrew Kipple,4.7,6841,Paperback,2.57,2019
The Great Gatsby,F. Scott Fitzgerald,4.4,11080,Paperback,0.94,2019
The Complete Cookbook for Young Chefs: 100+ Recipes that You'll Love to Cook and Eat,America's Test Kitchen Kids,4.8,9504,Hardcover,6.99,2019
"Blowout: Corrupted Democracy, Rogue State Russia, and the Richest, Most Destructive Industry on Earth",Rachel Maddow,4.8,6054,Hardcover,18.6,2019
Love You Forever,Robert Munsch,4.9,27107,Paperback,0.25,2019
"The Easy 5-Ingredient Ketogenic Diet Cookbook: Low-Carb, High-Fat Recipes for Busy People on the Keto Diet",Jen Fisch,4.4,7764,Paperback,2.66,2019
The Giving Tree,Shel Silverstein,4.9,15510,Hardcover,2,2019
Dragons Love Tacos,Adam Rubin,4.7,7995,Hardcover,1.4,2019
How to Win Friends & Influence People,Dale Carnegie,4.7,34503,Paperback,4.69,2019
Magnolia Table,Joanna Gaines,4.8,14894,Hardcover,11.79,2019
The Obesity Code (Unlocking the Secrets of Weight Loss) (BOOK 1),Jason Fung,4.6,14304,Paperback,6.07,2019
"Magic Tree House Boxed Set, Books 1-4: Dinosaurs Before Dark, The Knight at Dawn, Mummies in the Morning, and Pirates Past Noon",Mary Pope Osborne,4.8,8705,Paperback,3.99,2019
